,Product Name,Discounted Price,Average Rating,Description,Total Ratings,Total Reviews,Model Type,Color,Storage Space
17,"Apple iPhone 15 Pro Max (White Titanium, 512 GB)",132999,4.6,"512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",1682,99,iPhone 15 Pro Max,White Titanium,512 GB
18,"Apple iPhone 15 Pro Max (Blue Titanium, 512 GB)",132999,4.6,"512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",1682,99,iPhone 15 Pro Max,Blue Titanium,512 GB
19,"Apple iPhone 15 Pro Max (Black Titanium, 1 TB)",140999,4.6,"1 TB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",1682,99,iPhone 15 Pro Max,Black Titanium,1 TB
20,"Apple iPhone 15 Pro (White Titanium, 256 GB)",115999,4.6,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",2090,102,iPhone 15 Pro,White Titanium,256 GB
21,"Apple iPhone 16 (Teal, 128 GB)",79900,4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",1054,25,iPhone 16,Teal,128 GB
22,"Apple iPhone 15 Pro Max (Blue Titanium, 1 TB)",140999,4.6,"1 TB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",1682,99,iPhone 15 Pro Max,Blue Titanium,1 TB
23,"Apple iPhone 15 Pro Max (Natural Titanium, 256 GB)",125999,4.6,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",1682,99,iPhone 15 Pro Max,Natural Titanium,256 GB
24,"Apple iPhone 15 Pro Max (Blue Titanium, 256 GB)",125999,4.6,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",1730,103,iPhone 15 Pro Max,Blue Titanium,256 GB
25,"Apple iPhone 15 Pro (Blue Titanium, 1 TB)",130999,4.6,"1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",2090,102,iPhone 15 Pro,Blue Titanium,1 TB
26,"Apple iPhone 16 (Ultramarine, 128 GB)",79900,4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",1094,26,iPhone 16,Ultramarine,128 GB
